,gid,District Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
0,1,Karur,11059,11038,21,20,0,10,10,0,10,10
1,2,Namakkal,2453,2373,80,32,1,16,15,1,13,13
2,3,Perambalur,2742,2740,2,14,0,4,10,0,4,10
3,4,Theni,5058,4983,75,21,0,9,12,0,9,12
4,5,Coimbatore,4976,4861,115,27,0,13,14,0,13,12
5,6,Dharmapuri,16122,16118,4,24,0,12,12,0,12,9
6,7,Kanyakumari,2725,2634,91,24,1,11,12,0,10,10
7,8,Chennai,1868,1867,1,30,0,12,18,0,9,17
8,9,Tiruvannamalai,10728,10629,99,40,0,16,24,0,14,21
9,10,Madurai,7856,7723,133,31,0,14,17,0,12,17
10,11,TheNilgiris,2321,2320,1,18,1,5,11,1,5,7
11,12,Vellore,13207,13163,44,25,0,7,18,0,7,16
12,13,Ramanathapuram,59300,59294,6,44,0,14,29,0,13,22
13,14,Salem,6941,6931,10,47,0,20,27,0,16,27
14,15,Cuddalore,2677,2675,2,29,0,14,15,0,10,13
15,16,Thanjavur,2860,2852,8,30,0,15,15,0,15,15
16,17,Thoothukudi,6291,6286,5,36,1,14,21,1,13,21
17,18,Pudukkottai,3024,3024,0,37,0,15,22,0,11,20
18,19,Erode,6486,6485,1,32,0,14,18,0,12,18
19,20,Virudhunagar,23444,23334,110,36,0,12,24,0,10,23
20,21,Tirunelveli,3650,3629,21,24,0,11,13,0,10,13
21,22,Sivagangai,3880,3707,173,27,0,13,14,0,12,14
22,23,Dindigul,10961,10936,25,33,0,14,19,0,12,16
23,24,Krishnagiri,4108,4103,5,26,0,11,15,0,7,15
24,25,Ariyalur,2039,2032,7,18,0,6,12,0,5,12
25,26,Tiruppur,2815,2813,2,34,0,16,18,0,15,13
26,27,Chengalpattu,2123,2098,25,16,0,7,9,0,5,7
27,28,Tiruvallur,2732,2640,92,30,0,11,19,0,10,17
28,29,Chennai,3,3,0,4,0,2,2,0,2,2
29,30,Thiruvarur,8620,8619,1,23,0,11,12,0,10,9
30,31,Thiruchirappalli,2068,2018,50,31,0,16,15,0,16,15
31,32,Kancheepuram,1897,1888,9,16,0,6,10,0,3,10
32,33,Ranipet,10230,10224,6,17,0,8,9,0,7,7
33,34,Tirupattur,3517,3516,1,15,0,7,8,0,7,7
34,35,Kallakurichi,623,623,0,20,0,9,11,0,7,9
35,36,Tenkasi,5347,5319,28,23,0,9,13,0,6,10
36,37,Nagapattinam,2546,2544,2,15,0,7,8,0,6,6
37,38,Mayiladuthurai,1701,1701,0,10,0,5,5,0,4,4
